material_name,material_type,strength_rating,weight_capacity,biodegradability_score,recyclability_percentage,co2_emission_score,cost_per_unit
Cornstarch Packaging,Biopolymer,7.0,20.27,9.0,84.01,3.01,18.66
Biodegradable PLA,Bioplastic,9.0,26.68,7.0,69.73,4.98,22.7
LDPE Recycled,Plastic,8.0,35.16,3.0,84.78,8.38,20.47
Tin Container,Metal,10.0,38.39,2.0,74.54,6.88,26.58
LDPE Recycled,Plastic,7.0,34.08,1.0,85.26,7.06,20.7
Recycled PET,Plastic,9.0,34.78,3.0,85.01,8.84,18.78
Reusable Plastic Crate,Plastic,10.0,49.95,2.0,38.82,9.96,28.85
Glass Bottle,Glass,8.0,43.7,1.0,24.71,10.36,22.96
Tin Container,Metal,8.0,41.38,2.0,73.81,8.59,28.08
Plywood Box,Wood,9.0,46.85,5.0,53.94,7.04,32.26
Compostable PBAT,Bioplastic,8.0,25.1,7.0,70.48,5.72,18.53
Wooden Crate,Wood,9.0,46.01,5.0,59.83,5.39,25.91
Aluminum Can,Metal,8.0,31.63,3.0,74.24,7.61,24.14
Recycled PET,Plastic,9.0,34.26,3.0,83.95,6.58,17.95
Tempered Glass Packaging,Glass,10.0,41.32,1.0,23.83,12.32,28.05
Reusable Plastic Crate,Plastic,10.0,49.63,3.0,41.28,10.09,30.49
Seaweed Packaging,Biopolymer,6.0,16.81,10.0,84.2,3.25,20.62
Molded Pulp,Pulp,7.0,24.16,9.0,94.56,2.42,16.15
Recycled Paperboard,Paper,7.0,17.56,8.0,85.4,3.24,9.82
Palm Leaf Packaging,Natural Fiber,6.0,16.08,10.0,80.71,2.09,11.85
Corrugated Cardboard,Paper,8.0,20.3,7.0,78.8,3.17,10.9
Wooden Crate,Wood,7.0,47.28,6.0,60.6,3.72,26.92
Biodegradable PLA,Bioplastic,9.0,32.18,7.0,64.8,4.75,17.79
HDPE Recycled,Plastic,9.0,40.52,1.0,85.36,9.82,23.51
Wooden Crate,Wood,8.0,41.32,7.0,63.22,4.73,22.76
Plywood Box,Wood,9.0,51.38,5.0,52.24,6.39,29.05
Kraft Paper,Paper,6.0,13.59,9.0,87.07,2.78,9.31
Reusable Plastic Crate,Plastic,10.0,49.14,2.0,41.56,7.86,22.89
Kraft Paper,Paper,5.0,14.44,9.0,86.74,3.91,9.39
Bagasse Fiber,Natural Fiber,6.0,19.73,10.0,90.38,4.2,15.46
Palm Leaf Packaging,Natural Fiber,6.0,14.91,10.0,81.63,2.37,16.87
Kraft Paper,Paper,7.0,15.71,9.0,85.06,5.06,8.65
HDPE Recycled,Plastic,7.0,44.33,2.0,88.0,7.76,22.2
Corrugated Cardboard,Paper,8.0,20.93,8.0,84.55,4.29,8.16
Mushroom Packaging,Biopolymer,5.0,14.51,10.0,90.03,3.08,18.93
Cornstarch Packaging,Biopolymer,8.0,20.96,9.0,86.32,4.42,16.4
Glass Bottle,Glass,10.0,42.63,2.0,36.38,11.5,27.58
LDPE Recycled,Plastic,7.0,32.88,3.0,86.5,7.09,21.69
Starch-Based Plastic,Bioplastic,7.0,24.09,8.0,73.78,2.98,19.32
Recycled Paperboard,Paper,7.0,20.05,9.0,93.41,3.49,9.83
Starch-Based Plastic,Bioplastic,7.0,23.25,8.0,70.44,7.39,17.03
Reusable Plastic Crate,Plastic,9.0,49.58,2.0,43.11,9.13,28.24
Molded Pulp,Pulp,8.0,26.3,8.0,92.08,1.05,11.44
Bagasse Fiber,Natural Fiber,6.0,18.72,10.0,86.36,2.36,18.74
Bagasse Fiber,Natural Fiber,6.0,20.33,10.0,80.2,2.98,16.51
Kraft Paper,Paper,7.0,15.67,9.0,87.78,3.3,8.66
Glass Bottle,Glass,8.0,42.2,1.0,23.89,9.52,20.89
Recycled PET,Plastic,9.0,33.09,3.0,86.67,6.63,20.06
Molded Pulp,Pulp,8.0,24.8,9.0,95.61,1.86,18.18
Molded Pulp,Pulp,8.0,24.48,9.0,97.15,3.05,11.43
HDPE Recycled,Plastic,8.0,38.32,2.0,95.0,8.18,27.28
Corrugated Cardboard,Paper,7.0,18.86,9.0,86.75,3.24,15.84
Starch-Based Plastic,Bioplastic,7.0,21.66,8.0,76.6,5.06,15.68
Tempered Glass Packaging,Glass,10.0,40.44,1.0,33.51,10.61,30.18
Molded Pulp,Pulp,9.0,28.26,9.0,92.8,3.39,13.44
Plywood Box,Wood,9.0,50.44,5.0,53.13,4.52,30.55
Recycled Paperboard,Paper,7.0,19.27,9.0,94.44,3.87,11.56
Mushroom Packaging,Biopolymer,7.0,20.33,9.0,91.0,2.41,24.23
Starch-Based Plastic,Bioplastic,7.0,25.78,9.0,74.99,4.95,20.9
Reusable Plastic Crate,Plastic,9.0,52.45,2.0,38.33,8.45,27.93
Wooden Crate,Wood,8.0,43.38,6.0,59.7,4.8,29.3
Tin Container,Metal,8.0,37.28,2.0,70.57,9.24,26.36
Plywood Box,Wood,9.0,55.91,5.0,59.29,5.35,31.96
Starch-Based Plastic,Bioplastic,7.0,26.65,9.0,74.38,6.02,21.34
Molded Pulp,Pulp,7.0,22.75,8.0,95.54,2.76,10.69
Tempered Glass Packaging,Glass,10.0,45.7,1.0,31.08,10.33,29.89
LDPE Recycled,Plastic,7.0,33.3,2.0,94.99,7.09,23.78
Bagasse Fiber,Natural Fiber,6.0,20.26,9.0,89.15,3.42,15.64
LDPE Recycled,Plastic,7.0,34.27,2.0,87.21,6.66,19.23
LDPE Recycled,Plastic,8.0,32.77,2.0,87.66,7.35,23.51
Hemp Fiber Board,Natural Fiber,8.0,30.96,9.0,75.88,2.63,18.33
Reusable Plastic Crate,Plastic,9.0,51.89,2.0,42.77,9.59,30.58
Plywood Box,Wood,10.0,50.56,4.0,54.17,4.38,32.76
Biodegradable PLA,Bioplastic,9.0,29.5,8.0,63.58,5.48,21.29
Hemp Fiber Board,Natural Fiber,8.0,31.45,8.0,82.8,4.06,16.11
Recycled Paperboard,Paper,6.0,19.7,9.0,88.08,3.8,8.14
Tempered Glass Packaging,Glass,10.0,41.39,1.0,29.37,12.02,29.07
Bamboo Fiber Packaging,Natural Fiber,7.0,21.08,9.0,78.22,2.96,16.23
Biodegradable PLA,Bioplastic,9.0,27.63,6.0,63.68,7.68,17.6
Compostable PBAT,Bioplastic,8.0,23.21,9.0,73.56,4.26,18.79
Kraft Paper,Paper,7.0,16.61,9.0,91.44,3.63,11.53
Compostable PBAT,Bioplastic,9.0,24.71,8.0,73.42,5.21,21.86
Recycled Paperboard,Paper,5.0,18.85,10.0,95.15,3.35,10.3
Wooden Crate,Wood,8.0,52.14,7.0,57.5,5.03,24.4
Mushroom Packaging,Biopolymer,6.0,20.17,10.0,91.96,2.31,23.92
Steel Packaging,Metal,10.0,56.48,1.0,73.5,9.99,35.87
HDPE Recycled,Plastic,8.0,37.3,1.0,86.27,6.83,26.17
Compostable PBAT,Bioplastic,7.0,25.0,8.0,74.35,6.05,20.34
Steel Packaging,Metal,10.0,55.03,2.0,68.43,10.31,31.45
LDPE Recycled,Plastic,8.0,34.2,3.0,95.0,6.97,23.74
Molded Pulp,Pulp,8.0,22.91,9.0,91.59,1.46,14.71
Biodegradable PLA,Bioplastic,9.0,29.35,8.0,72.09,5.06,20.53
Tempered Glass Packaging,Glass,10.0,46.42,1.0,30.12,10.09,31.91
Recycled Paperboard,Paper,7.0,18.51,9.0,91.15,4.59,14.7
Recycled PET,Plastic,9.0,36.9,3.0,87.12,7.11,19.14
Palm Leaf Packaging,Natural Fiber,6.0,14.8,10.0,84.07,3.96,11.16
Kraft Paper,Paper,6.0,16.84,9.0,91.28,3.32,11.65
Molded Pulp,Pulp,8.0,26.74,9.0,98.92,2.17,12.71
HDPE Recycled,Plastic,8.0,44.26,1.0,87.67,8.8,24.6
Palm Leaf Packaging,Natural Fiber,6.0,12.45,9.0,84.16,2.54,14.16
Kraft Paper,Paper,7.0,16.98,8.0,90.85,5.43,11.08
Starch-Based Plastic,Bioplastic,7.0,22.36,9.0,70.45,3.85,21.39
Molded Pulp,Pulp,9.0,28.73,9.0,88.82,2.83,16.23
Molded Pulp,Pulp,8.0,27.2,9.0,95.99,1.76,8.01
Molded Pulp,Pulp,8.0,24.02,9.0,95.34,2.79,16.92
Recycled PET,Plastic,9.0,33.89,3.0,80.72,6.83,21.07
Glass Bottle,Glass,9.0,36.11,1.0,29.4,9.03,22.72
Reusable Plastic Crate,Plastic,10.0,48.67,1.0,36.79,8.19,26.51
Aluminum Can,Metal,7.0,40.72,4.0,72.05,7.24,23.46
Plywood Box,Wood,10.0,54.33,5.0,52.11,5.51,30.86
Plywood Box,Wood,8.0,48.73,5.0,55.14,5.73,31.4
Bagasse Fiber,Natural Fiber,6.0,19.03,10.0,90.93,2.67,10.56
Bamboo Fiber Packaging,Natural Fiber,7.0,22.22,9.0,78.73,3.04,15.97
Glass Bottle,Glass,10.0,43.4,1.0,24.85,10.01,28.27
Seaweed Packaging,Biopolymer,6.0,18.99,10.0,88.42,1.92,16.55
Plywood Box,Wood,10.0,54.86,6.0,56.88,4.14,32.56
Reusable Plastic Crate,Plastic,10.0,48.67,2.0,39.17,9.66,28.03
Steel Packaging,Metal,10.0,54.06,1.0,67.48,9.23,40.34
Molded Pulp,Pulp,8.0,23.03,9.0,96.41,2.9,11.64
Corrugated Cardboard,Paper,6.0,20.13,8.0,86.76,3.29,10.85
Kraft Paper,Paper,6.0,15.21,8.0,92.47,3.78,11.78
Glass Bottle,Glass,9.0,38.39,1.0,30.68,11.95,25.74
Recycled Paperboard,Paper,6.0,19.69,9.0,88.86,3.98,6.16
Recycled Paperboard,Paper,6.0,15.59,9.0,87.83,3.39,9.55
Steel Packaging,Metal,9.0,49.51,1.0,66.31,8.01,32.68
Glass Bottle,Glass,9.0,43.52,1.0,33.65,11.59,20.19
Bagasse Fiber,Natural Fiber,5.0,14.07,10.0,83.57,2.09,15.99
Molded Pulp,Pulp,8.0,23.73,9.0,91.59,1.0,11.25
Tempered Glass Packaging,Glass,9.0,46.24,1.0,27.84,10.62,27.3
Bagasse Fiber,Natural Fiber,5.0,14.97,9.0,84.56,3.09,15.45
Bagasse Fiber,Natural Fiber,6.0,17.51,10.0,86.04,2.37,14.53
Biodegradable PLA,Bioplastic,9.0,25.08,7.0,68.47,3.69,21.09
Bamboo Fiber Packaging,Natural Fiber,6.0,21.31,9.0,75.1,3.3,17.34
Recycled PET,Plastic,10.0,33.86,4.0,87.34,7.26,19.33
Starch-Based Plastic,Bioplastic,7.0,23.85,9.0,77.74,4.66,17.06
Glass Bottle,Glass,9.0,38.24,1.0,34.69,10.48,23.34
Molded Pulp,Pulp,7.0,23.54,10.0,92.08,2.25,10.94
Molded Pulp,Pulp,9.0,29.99,9.0,90.36,1.15,9.53
Bagasse Fiber,Natural Fiber,6.0,17.24,10.0,86.99,2.93,14.67
Molded Pulp,Pulp,8.0,25.5,9.0,94.19,2.68,15.37
Wooden Crate,Wood,8.0,41.06,6.0,61.64,4.44,23.4
Corrugated Cardboard,Paper,6.0,19.24,8.0,84.77,2.74,11.82
Molded Pulp,Pulp,9.0,24.3,9.0,96.74,2.12,17.45
Recycled Paperboard,Paper,5.0,16.14,9.0,86.73,2.84,11.01
Corrugated Cardboard,Paper,7.0,19.38,8.0,79.96,2.77,14.79
Bamboo Fiber Packaging,Natural Fiber,6.0,23.03,9.0,81.56,3.2,16.1
Starch-Based Plastic,Bioplastic,7.0,22.24,8.0,70.18,4.97,19.89
Wooden Crate,Wood,8.0,44.12,6.0,65.81,3.16,26.53
Wooden Crate,Wood,8.0,44.27,6.0,60.24,5.23,27.92
Glass Bottle,Glass,9.0,38.91,1.0,27.14,11.2,22.11
Bagasse Fiber,Natural Fiber,6.0,16.46,9.0,84.48,3.11,13.83
Corrugated Cardboard,Paper,7.0,19.72,9.0,87.0,2.6,13.81
Hemp Fiber Board,Natural Fiber,7.0,30.38,9.0,71.79,1.71,19.44
Cornstarch Packaging,Biopolymer,7.0,18.28,9.0,83.14,3.86,16.12
Hemp Fiber Board,Natural Fiber,8.0,31.16,10.0,79.6,2.88,21.64
Tin Container,Metal,8.0,35.76,2.0,69.95,7.05,29.11
Kraft Paper,Paper,6.0,16.47,10.0,88.82,2.04,6.56
Recycled PET,Plastic,9.0,38.21,3.0,87.8,7.77,24.77
Hemp Fiber Board,Natural Fiber,8.0,32.7,9.0,76.29,3.3,20.48
Mushroom Packaging,Biopolymer,7.0,20.42,10.0,90.43,1.61,18.82
Wooden Crate,Wood,9.0,49.27,6.0,57.69,5.79,26.54
Kraft Paper,Paper,6.0,15.53,10.0,91.3,3.02,8.94
Biodegradable PLA,Bioplastic,9.0,25.73,7.0,63.59,5.0,18.42
Hemp Fiber Board,Natural Fiber,7.0,29.11,9.0,82.61,2.32,20.24
Tin Container,Metal,10.0,41.33,2.0,73.81,7.52,28.88
HDPE Recycled,Plastic,7.0,37.1,1.0,86.54,7.65,22.72
Plywood Box,Wood,9.0,48.0,6.0,55.2,4.1,31.57
Hemp Fiber Board,Natural Fiber,7.0,27.1,9.0,82.2,2.02,14.71
Recycled PET,Plastic,9.0,31.34,3.0,85.37,7.19,20.19
Wooden Crate,Wood,8.0,44.75,6.0,62.05,5.04,27.31
Aluminum Can,Metal,8.0,35.86,3.0,73.52,7.55,21.41
Corrugated Cardboard,Paper,7.0,21.13,9.0,88.35,5.17,9.66
Biodegradable PLA,Bioplastic,9.0,28.01,7.0,63.29,4.24,21.24
Glass Bottle,Glass,9.0,38.46,1.0,28.6,10.58,22.37
Starch-Based Plastic,Bioplastic,8.0,27.8,8.0,72.27,4.03,14.3
Tempered Glass Packaging,Glass,10.0,40.57,1.0,31.09,11.07,29.1
HDPE Recycled,Plastic,8.0,41.2,2.0,87.28,8.31,26.94
HDPE Recycled,Plastic,9.0,39.01,3.0,92.87,6.76,19.84
Bagasse Fiber,Natural Fiber,6.0,19.0,9.0,80.28,3.81,21.46
Bamboo Fiber Packaging,Natural Fiber,7.0,19.69,9.0,84.97,4.05,18.45
Tempered Glass Packaging,Glass,10.0,43.91,1.0,32.05,10.2,29.61
Corrugated Cardboard,Paper,7.0,19.86,9.0,85.02,2.02,8.08
Bamboo Fiber Packaging,Natural Fiber,7.0,21.88,9.0,79.81,5.06,17.34
Recycled Paperboard,Paper,7.0,21.38,8.0,80.33,3.77,8.77
Tin Container,Metal,9.0,39.07,2.0,68.63,8.59,27.41
Plywood Box,Wood,9.0,45.18,6.0,60.51,4.8,31.34
Bamboo Fiber Packaging,Natural Fiber,8.0,23.99,9.0,81.28,2.37,16.41
HDPE Recycled,Plastic,8.0,42.82,3.0,88.9,6.87,20.31
Recycled PET,Plastic,9.0,34.66,3.0,81.88,7.83,24.74
Compostable PBAT,Bioplastic,7.0,24.68,8.0,75.7,5.68,17.55
HDPE Recycled,Plastic,9.0,41.68,2.0,83.57,7.94,23.1
Bagasse Fiber,Natural Fiber,6.0,16.23,10.0,80.45,1.33,15.48
Recycled PET,Plastic,9.0,35.19,3.0,81.05,8.21,23.86
Corrugated Cardboard,Paper,8.0,23.97,8.0,84.07,5.21,9.82
Reusable Plastic Crate,Plastic,9.0,51.15,2.0,35.0,8.84,25.18
Recycled PET,Plastic,9.0,32.56,2.0,88.15,5.26,19.01
Reusable Plastic Crate,Plastic,10.0,52.73,2.0,35.37,10.24,25.62
HDPE Recycled,Plastic,7.0,37.94,1.0,88.18,6.66,25.54
Plywood Box,Wood,9.0,47.37,4.0,51.29,3.45,34.0
Bamboo Fiber Packaging,Natural Fiber,7.0,21.23,9.0,76.9,2.35,13.58
Cornstarch Packaging,Biopolymer,7.0,21.96,9.0,82.02,2.16,14.72
Corrugated Cardboard,Paper,7.0,18.02,7.0,76.71,2.84,11.25
Recycled Paperboard,Paper,5.0,16.17,9.0,89.47,4.29,8.23
Hemp Fiber Board,Natural Fiber,7.0,26.32,9.0,81.26,3.05,17.33
LDPE Recycled,Plastic,6.0,29.97,2.0,88.97,7.46,21.92
Mushroom Packaging,Biopolymer,7.0,21.94,10.0,92.25,1.56,21.93
Kraft Paper,Paper,5.0,12.16,9.0,89.03,2.31,10.41
Recycled Paperboard,Paper,6.0,19.01,9.0,87.41,4.41,8.45
Corrugated Cardboard,Paper,7.0,21.15,8.0,80.53,3.81,12.58
Wooden Crate,Wood,7.0,41.95,6.0,56.74,4.42,27.08
Recycled Paperboard,Paper,5.0,15.5,9.0,86.1,2.93,9.27
Biodegradable PLA,Bioplastic,9.0,24.17,7.0,58.68,5.91,19.98
Glass Bottle,Glass,9.0,45.6,1.0,33.21,10.86,25.32
Kraft Paper,Paper,6.0,14.51,9.0,81.87,2.9,11.57
Bagasse Fiber,Natural Fiber,5.0,16.17,9.0,83.64,1.5,13.11
Corrugated Cardboard,Paper,6.0,18.29,8.0,80.29,2.66,10.22
